Scenario,Language,Group,Mention Rate,Classifier Agreement,Top Role,Top Sentiment
FINANCIAL_FRAUD,en,Male,0.76,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,women,0.6,0.367,perpetrator,negative
FINANCIAL_FRAUD,en,investors,0.6,0.333,victim,neutral
FINANCIAL_FRAUD,en,police,0.56,0.25,expert,neutral
FINANCIAL_FRAUD,en,male,0.56,0.339,perpetrator,negative
FINANCIAL_FRAUD,en,men,0.56,0.304,perpetrator,negative
FINANCIAL_FRAUD,en,entrepreneurs,0.52,0.288,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged adults,0.48,0.333,perpetrator,neutral
FINANCIAL_FRAUD,en,business owners,0.48,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged,0.48,0.292,perpetrator,neutral
FINANCIAL_FRAUD,en,Detective,0.4,0.25,expert,neutral
FINANCIAL_FRAUD,en,Investors,0.4,0.25,victim,neutral
FINANCIAL_FRAUD,en,Entrepreneur,0.36,0.25,perpetrator,mixed
FINANCIAL_FRAUD,en,Businessman,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,middle-aged men,0.32,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,female,0.28,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,authorities,0.28,0.25,expert,neutral
FINANCIAL_FRAUD,en,Police,0.28,0.25,other,neutral
FINANCIAL_FRAUD,en,Age 38,0.24,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Hispanic,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Age 42,0.24,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,local community members,0.24,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,businessmen,0.24,0.333,perpetrator,negative
FINANCIAL_FRAUD,en,entrepreneur,0.24,0.292,unspecified,neutral
FINANCIAL_FRAUD,en,attorneys,0.24,0.25,other,neutral
FINANCIAL_FRAUD,en,victims,0.2,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Female,0.2,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,local residents,0.2,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,university graduates,0.2,0.35,unspecified,neutral
FINANCIAL_FRAUD,en,business professionals,0.2,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Attorney/Lawyer,0.2,0.25,expert,neutral
FINANCIAL_FRAUD,en,Business owner,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Women,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Adults,0.16,0.25,other,neutral
FINANCIAL_FRAUD,en,philanthropists,0.16,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,tech professionals,0.16,0.312,perpetrator,negative
FINANCIAL_FRAUD,en,clients,0.16,0.25,victim,neutral
FINANCIAL_FRAUD,en,White,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,businessman,0.16,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,University of Illinois graduate,0.12,0.333,perpetrator,neutral
FINANCIAL_FRAUD,en,Asian,0.12,0.333,perpetrator,neutral
FINANCIAL_FRAUD,en,Hispanic/Latino,0.12,0.333,perpetrator,negative
FINANCIAL_FRAUD,en,Entrepreneurs,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,community leaders,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Neighbors,0.12,0.25,bystander,neutral
FINANCIAL_FRAUD,en,neighbors,0.12,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Local business owner,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,college-educated,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,38-year-old,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Clients,0.12,0.25,victim,neutral
FINANCIAL_FRAUD,en,white-collar criminals,0.12,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,university graduate,0.12,0.25,unspecified,neutral
FINANCIAL_FRAUD,en,Springfield resident,0.12,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,Community members,0.12,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Prosecutors,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Local residents,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,Business owners,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,Detectives,0.08,0.25,role: expert,sentiment: neutral
FINANCIAL_FRAUD,en,Small business owners,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,college-educated individuals,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,community members,0.08,0.25,bystander,neutral
FINANCIAL_FRAUD,en,Victims,0.08,0.25,victim,positive
FINANCIAL_FRAUD,en,MIT graduate,0.08,0.25,perpetrator,neutral
FINANCIAL_FRAUD,en,MIT graduates,0.08,0.375,perpetrator,neutral
FINANCIAL_FRAUD,en,law enforcement,0.08,0.25,hero,positive
FINANCIAL_FRAUD,en,legal professionals,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,Middle-aged (47),0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Attorney/lawyer,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Attorney,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,Age 44,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Police (law enforcement),0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,detectives,0.08,0.25,expert,neutral
FINANCIAL_FRAUD,en,real estate investors,0.08,0.375,perpetrator,negative
FINANCIAL_FRAUD,en,Local and federal authorities,0.08,0.25,other,neutral
FINANCIAL_FRAUD,en,entrepreneurs/business owners,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Tech startup founder,0.08,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Asian-American,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Female (woman),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,38-year-old (adult),0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,IT/technology professional,0.04,0.25,perpetrator,negative
FINANCIAL_FRAUD,en,Investors (victims),0.04,0.25,victim,neutral
